Amount,BioGuideID,Description,ExcessReturn,House,Party,PriceChange,Range,ReportDate,Representative,SPYChange,Ticker,TickerType,Transaction,TransactionDate,last_modified
1001.0,G000596,,10.5187601540629,Representatives,R,11.597212607873,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,CRWD,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,19.1836844343713,Representatives,R,20.2621368881815,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,ASML,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,2.17928538672616,Representatives,R,3.2577378405363,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,ADBE,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,-1.46304418070543,Representatives,R,-0.384591726895284,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,IBIT,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,-4.32359799902997,Representatives,R,-3.24514554521982,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,AMGN,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,1.2253563396459,Representatives,R,2.30380879345604,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,MS,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,0.989774834556558,Representatives,R,2.0682272883667,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,GS,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,2.11741098999748,Representatives,R,3.19586344380762,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,GOOG,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,-0.881908354227803,Representatives,R,0.19654409958234,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,DUK,ST,Purchase,2025-09-11,2025-09-29
1001.0,G000596,,-3.42144209141248,Representatives,R,-2.34298963760234,"$1,001 - $15,000",2025-09-27,Marjorie Taylor Greene,1.07845245381014,DLR,ST,Purchase,2025-09-11,2025-09-29
1001.0,T000490,,4.23134789151829,Representatives,R,7.50485563166565,"$1,001 - $15,000",2025-09-16,David J. Taylor,3.27350774014737,GOOGL,ST,Sale,2025-09-03,2025-09-17
1001.0,T000490,,-8.35831959430997,Representatives,R,-5.0848118541626,"$1,001 - $15,000",2025-09-16,David J. Taylor,3.27350774014737,CRM,ST,Purchase,2025-09-03,2025-09-17
1001.0,T000490,,4.23134789151829,Representatives,R,7.50485563166565,"$1,001 - $15,000",2025-09-16,David J. Taylor,3.27350774014737,GOOGL,ST,Sale,2025-09-03,2025-09-17
1001.0,C001123,,5.22720744864435,Representatives,D,9.02873961218837,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.80153216354402,SMTC,ST,Purchase,2025-09-02,2025-09-15
1001.0,C001123,,-3.35700958581536,Representatives,D,0.444522577728661,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.80153216354402,GTLS,ST,Sale,2025-09-02,2025-09-15
1001.0,C001123,,-14.5850429470548,Representatives,D,-10.7835107835108,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.80153216354402,AVNT,ST,Purchase,2025-09-02,2025-09-15
1001.0,M000355,,-0.781233802086451,Senate,R,3.02029836145757,"$1,001 - $15,000",2025-09-12,A. Mitchell Jr. McConnell,3.80153216354402,WFC,Stock,Purchase,2025-09-01,2025-09-12
50001.0,M001136,,13.1616467240665,Representatives,R,15.6041465564276,"$50,001 - $100,000",2025-09-12,Lisa Mcclain,2.44249983236104,TSM,ST,Sale,2025-08-28,2025-09-15
1001.0,W000802,,-23.3290626366454,Senate,D,-20.8865628042843,"$1,001 - $15,000",2025-09-03,Sheldon Whitehouse,2.44249983236104,KVUE,Stock,Sale (Full),2025-08-28,2025-09-03
15001.0,W000802,,11.3534907726871,Senate,D,13.7959906050481,"$15,001 - $50,000",2025-09-03,Sheldon Whitehouse,2.44249983236104,UNH,Stock,Sale (Full),2025-08-28,2025-09-03
1001.0,W000802,,-12.218913685934,Senate,D,-9.77641385357299,"$1,001 - $15,000",2025-09-03,Sheldon Whitehouse,2.44249983236104,DHR,Stock,Sale (Full),2025-08-28,2025-09-03
15001.0,W000802,,24.3179958924924,Senate,D,26.7604957248535,"$15,001 - $50,000",2025-09-03,Sheldon Whitehouse,2.44249983236104,LRCX,Stock,Sale (Partial),2025-08-28,2025-09-03
15001.0,G000596,,-0.245933048947717,Representatives,R,2.19656678341332,"$15,001 - $50,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,FDX,ST,Purchase,2025-08-28,2025-09-01
15001.0,G000596,,-2.17970275740674,Representatives,R,0.262797074954301,"$15,001 - $50,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,EXC,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,-3.73460462651538,Representatives,R,-1.29210479415434,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,NVO,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,-0.770365899853112,Representatives,R,1.67213393250792,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,MELI,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,-0.604902260808556,Representatives,R,1.83759757155248,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,SO,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,4.15291899837541,Representatives,R,6.59541883073645,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,MS,ST,Purchase,2025-08-28,2025-09-01
